query_id,config_top_k,config_threshold,config_temperature,config_response_mode,map_score,mrr_score,correctness,relevancy,faithfulness,bleu_score,total_time
d42eca7d,5,0.35,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.5194624816493197,2.152686834335327
f6d4e2a5,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.4015309810638428
209d67b9,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.6396408081054688
f2aa0c49,5,0.35,0.0,compact,0.8875,1.0,5.0,1.0,1.0,0.7977240352174656,1.941605806350708
63e2a964,5,0.35,0.0,compact,0.8666666666666667,1.0,3.0,1.0,0.0,0.33933982252531925,4.096954822540283
d1440325,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.433927059173584
44d5b178,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.8374848365783691
347708ad,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,1.332923173904419
2e49387e,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.7523736213252469,2.661271095275879
93940125,5,0.35,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.24298055070848545,2.8660154342651367
f1ac1852,5,0.35,0.0,compact,0.25,0.25,5.0,1.0,0.0,0.11527808354084702,2.269397020339966
849d3361,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.7623698711395264
ca450431,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.20504156174308186,2.1484758853912354
00bdad3f,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.35043832202523123,3.0740647315979004
3b06dd93,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,3.695647954940796
ba3790fa,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.8451542547285166,3.7545790672302246
65d98c76,5,0.35,0.1,compact,0.8875,1.0,4.0,1.0,1.0,0.43837575820390956,4.225373029708862
03a533a3,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.6831748485565186
67fabf7a,5,0.35,0.1,compact,1.0,1.0,4.0,1.0,0.0,0.32845004014859225,2.717405080795288
841e8920,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.08873565094161139,3.4322509765625
d42eca7d,5,0.35,0.1,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,1.9987609386444092
f6d4e2a5,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.0868260860443115
209d67b9,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.1858422756195068
